cid,text,time,author,channel,votes,photo,heart
UgwQdDwOTCMhh48N_uN4AaABAg,"►For personalized classes on stock market, please check [Last few seats left for March Batch]:
https://wisdomhatch.com/",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,1,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAVC5nIEkdZGAhmRB4AaABAg,Correction: The British Money Laundering Expert’s name is Oliver Bollough not Oliver Burro. He is a legend.,4 weeks ago,Sajan Sybell,UCzvaDPh8cR_r6nrzjdLzvqg,0,https://yt3.ggpht.com/ytc/AKedOLR9xMUhvmmqVR0e7mWqQyJbP8_sjB44RbZ7q-S71K0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqOXR56RQtTd4wmVd4AaABAg,There are richer politicians in India also it is just that their money is not accounted or counted (lol),1 month ago,Rahul SR,UCFWkGOfu8t4jP7Pq8mm2-Rg,0,https://yt3.ggpht.com/ytc/AKedOLR_r-87M4F6m4JXjEnRkpsfH8x-owpEQPLZQwxRVw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwjqs57frDfRrfQJp94AaABAg,Chor hai sala,1 month ago,Jainam Mehta,UChtJBWgDEmhDS_ZkPz398Gw,0,https://yt3.ggpht.com/ytc/AKedOLQhctzuTTVdtwuBIxq8CdEFUBD125aw8nhNcEBySA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFmDI-8a45TMqt6cN4AaABAg,You forgot Rahul Gandhi.. the great .. the king of corruption,1 month ago,Bandi gowtham,UCCHyiamJ5kn5UaNFeEOX_cg,1,https://yt3.ggpht.com/q1TXF_y1LpI-aRxt4rE7mtrQ6aJoFvJrK2IfK3FfUkV7OmKmkvMtEa6aa0eIoeZF0T_7CKfz0A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6Ol9huvAscR687HR4AaABAg,KGB FSB BOSS FIR HOW LING...PROTECTION MONEY KICKBACKS 50 TO 75% FIR PSU SELL OFFS LIKE AIR INDIA TO RAWTAN TATA FOR ~FREE.,1 month ago,MON€¥ TALKIES: CRYPTOE!,UCeR6iyPA9TDei6q5rBbU_IA,0,https://yt3.ggpht.com/Xc6TDVlsrta3Nm9JKXm3hZivPUeECcxxj0waLSgVuqy2apV8YCEVn5WITxj1-KjuyJfEJpe0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAoBTf80DH5uSpEsh4AaABAg,pretty sure the queen has over a trillion,1 month ago,Saurav Banerjee,UCbTbOOxDkWSgs_lsM6QSI-w,0,https://yt3.ggpht.com/ytc/AKedOLQTrI9aXlU3BcauObUmFZ2jW4-4ImtBJGZiBSdW=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZWgkCvYIF4LaHeTt4AaABAg,Kumarswamy and D K shivakumar from Karnataka have much more than that.. Many indian politicians are much richer than that,1 month ago,Jeevitha Jagadish,UCbd_sEWFYrXzVy3rrVUgNmw,1,https://yt3.ggpht.com/ytc/AKedOLQ-9jXsKPRdwFxM9SRFLiuHmsDWdpdtyG8VeGE6Eg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQDaHoduRvDNwlFtF4AaABAg,Ye bahut bada pagla hai isko kuch nahi pata sirf chutiye dekhte hai iska video,1 month ago,Value Investing Cash,UCHTa1pm_zBzKMydPr6-4FlA,0,https://yt3.ggpht.com/ytc/AKedOLQe51Wqsp_OvlSkXU_AY3ajMca0LjkvcInu1Tng_vAH0iwZmLundtsJ1m2se9nG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDY6m-rZYHn_tnQix4AaABAg,He is continuing with the war despite economic impact on Russia. Also all oligarchs have been affected. They are crying now. It is clear that he is the face of old guard or nationalists. Rest is just western propaganda,1 month ago,Krishna Prasad,UC9zCoZ6GXT-roAkUmx6nYqw,0,https://yt3.ggpht.com/ytc/AKedOLTYBskkeiyG8PabFkiYI1oedHwvDqgJOcdqCb-IVTU=s176-c-k-c0x00ffffff-no-rj,0.0
